Customer_ID,Join_Date,Segment,Contract_Type
C0001,2024-04-12,Consumer,Monthly
C0002,2025-03-11,Consumer,Two Year
C0003,2024-09-27,Consumer,Two Year
C0004,2024-04-16,Consumer,One Year
C0005,2024-03-12,Consumer,One Year
C0006,2025-12-01,Consumer,Monthly
C0007,2024-01-21,Consumer,One Year
C0008,2025-09-06,Consumer,One Year
C0009,2024-05-01,SMB,One Year
C0010,2025-04-11,Consumer,Monthly
C0011,2024-08-02,SMB,One Year
C0012,2024-11-26,Consumer,Monthly
C0013,2025-04-03,Consumer,Two Year
C0014,2024-03-28,Consumer,One Year
C0015,2025-01-07,Consumer,Monthly
C0016,2024-04-09,Enterprise,One Year
C0017,2025-10-25,Enterprise,Two Year
C0018,2024-05-10,Enterprise,Monthly
C0019,2025-10-23,Consumer,Monthly
C0020,2024-11-04,Consumer,Monthly
C0021,2026-02-08,Consumer,Two Year
C0022,2024-12-09,Consumer,Two Year
C0023,2025-05-06,Consumer,Two Year
C0024,2025-02-17,Consumer,Monthly
C0025,2025-01-20,Consumer,Two Year
C0026,2024-07-10,Consumer,One Year
C0027,2024-10-03,Enterprise,Two Year
C0028,2024-06-09,SMB,Monthly
C0029,2025-04-04,SMB,One Year
C0030,2024-11-09,Consumer,Two Year
C0031,2024-01-22,Consumer,One Year
C0032,2024-09-09,Consumer,One Year
C0033,2026-01-17,Enterprise,Monthly
C0034,2025-07-14,Consumer,One Year
C0035,2025-04-19,Consumer,One Year
C0036,2024-02-28,SMB,Monthly
C0037,2025-05-25,Consumer,Monthly
C0038,2025-11-12,Consumer,Monthly
C0039,2025-04-20,Consumer,One Year
C0040,2025-11-30,Consumer,One Year
C0041,2026-02-21,Consumer,One Year
C0042,2024-07-08,Consumer,Monthly
C0043,2025-11-17,Consumer,Two Year
C0044,2025-07-16,Consumer,One Year
C0045,2025-07-20,SMB,Two Year
C0046,2024-08-31,Consumer,Monthly
C0047,2025-05-19,Consumer,One Year
C0048,2024-05-10,Consumer,Two Year
C0049,2025-04-29,SMB,One Year
C0050,2025-10-08,Consumer,One Year
C0051,2024-01-21,Consumer,One Year
C0052,2024-06-15,SMB,Two Year
C0053,2024-09-30,SMB,Monthly
C0054,2025-01-22,Consumer,One Year
C0055,2025-08-23,SMB,Monthly
C0056,2024-11-11,Consumer,Monthly
C0057,2024-01-14,Consumer,Two Year
C0058,2024-08-29,Consumer,Two Year
C0059,2026-02-15,Consumer,Monthly
C0060,2024-12-11,Enterprise,One Year
C0061,2025-07-18,Consumer,Two Year
C0062,2024-12-05,Consumer,One Year
C0063,2024-04-01,Enterprise,One Year
C0064,2025-01-01,Enterprise,One Year
C0065,2025-03-30,Consumer,Monthly
C0066,2025-03-03,Consumer,One Year
C0067,2025-05-23,Consumer,Monthly
C0068,2026-02-14,Enterprise,Monthly
C0069,2024-02-04,Consumer,One Year
C0070,2024-07-24,SMB,One Year
C0071,2024-03-21,Consumer,One Year
C0072,2025-07-15,Consumer,One Year
C0073,2025-01-22,Consumer,Monthly
C0074,2024-01-02,Consumer,One Year
C0075,2025-01-24,Consumer,One Year
C0076,2025-07-19,SMB,Monthly
C0077,2024-04-15,Consumer,Two Year
C0078,2026-02-10,Consumer,Two Year
C0079,2025-04-21,Enterprise,Monthly
C0080,2025-12-03,Consumer,Two Year
C0081,2025-02-05,Enterprise,Monthly
C0082,2025-12-30,Consumer,One Year
C0083,2025-07-09,Consumer,One Year
C0084,2024-06-10,Consumer,Two Year
C0085,2024-07-20,Consumer,One Year
C0086,2024-09-26,SMB,Two Year
C0087,2024-09-27,Consumer,Two Year
C0088,2025-03-31,Consumer,One Year
C0089,2025-04-06,Consumer,One Year
C0090,2025-12-27,Consumer,Two Year
C0091,2024-09-08,SMB,One Year
C0092,2025-12-02,Consumer,Monthly
C0093,2024-10-22,Consumer,One Year
C0094,2025-12-25,SMB,One Year
C0095,2025-12-20,Consumer,Monthly
C0096,2026-01-18,SMB,One Year
C0097,2024-12-03,Consumer,One Year
C0098,2024-02-22,Consumer,Two Year
C0099,2026-03-02,Consumer,One Year
C0100,2024-08-04,Enterprise,One Year
C0101,2026-02-02,SMB,Monthly
C0102,2024-07-06,Consumer,Two Year
C0103,2025-01-14,Consumer,Two Year
C0104,2025-05-07,Consumer,Two Year
C0105,2024-02-10,Consumer,One Year
C0106,2024-06-05,Consumer,Two Year
C0107,2024-01-15,SMB,Monthly
C0108,2024-03-05,Consumer,Two Year
C0109,2025-06-04,Consumer,Monthly
C0110,2024-12-09,Consumer,Two Year
C0111,2024-05-08,Consumer,Two Year
C0112,2025-10-09,Consumer,Monthly
C0113,2025-04-16,Consumer,Two Year
C0114,2024-03-03,SMB,Two Year
C0115,2024-05-18,Consumer,Two Year
C0116,2025-05-13,Consumer,One Year
C0117,2025-08-15,Consumer,Monthly
C0118,2025-01-26,SMB,Two Year
C0119,2025-11-05,Enterprise,Monthly
C0120,2025-02-22,Consumer,Monthly
C0121,2024-10-15,Enterprise,Monthly
C0122,2025-01-13,Consumer,Two Year
C0123,2026-02-11,Consumer,Two Year
C0124,2025-05-04,Consumer,Monthly
C0125,2024-08-18,Consumer,One Year
C0126,2024-02-10,Consumer,Monthly
C0127,2024-01-28,SMB,One Year
C0128,2024-05-14,SMB,Monthly
C0129,2024-07-19,Consumer,Monthly
C0130,2026-02-18,Consumer,Monthly
C0131,2024-02-02,Consumer,Two Year
C0132,2024-02-17,Consumer,One Year
C0133,2025-05-17,Consumer,One Year
C0134,2025-02-10,Consumer,Monthly
C0135,2025-07-27,Consumer,Two Year
C0136,2025-12-28,SMB,Two Year
C0137,2024-04-08,Consumer,One Year
C0138,2025-11-14,Consumer,Two Year
C0139,2025-12-26,Enterprise,One Year
C0140,2025-06-30,Consumer,One Year
C0141,2026-01-08,Consumer,One Year
C0142,2025-09-04,Consumer,Two Year
C0143,2025-04-06,Consumer,One Year
C0144,2025-10-04,Enterprise,One Year
C0145,2026-02-07,Consumer,Monthly
C0146,2024-01-05,Consumer,One Year
C0147,2024-08-05,SMB,One Year
C0148,2025-05-17,SMB,Monthly
C0149,2026-02-05,SMB,Monthly
C0150,2025-02-01,Consumer,Two Year
C0151,2026-03-05,Consumer,One Year
C0152,2025-01-27,SMB,Two Year
C0153,2024-07-25,Enterprise,Two Year
C0154,2024-01-15,Consumer,Monthly
C0155,2025-07-07,Consumer,Two Year
C0156,2025-04-05,Consumer,One Year
C0157,2025-11-21,SMB,Monthly
C0158,2025-07-28,Consumer,One Year
C0159,2026-01-12,Consumer,One Year
C0160,2024-08-28,Consumer,Monthly
C0161,2025-07-17,Consumer,One Year
C0162,2024-04-05,SMB,Monthly
C0163,2026-01-03,Consumer,One Year
C0164,2025-04-29,Enterprise,Monthly
C0165,2025-02-10,SMB,Two Year
C0166,2024-08-18,Consumer,One Year
C0167,2026-01-18,Consumer,Monthly
C0168,2025-10-16,Consumer,One Year
C0169,2024-06-19,Enterprise,One Year
C0170,2025-06-24,Consumer,One Year
C0171,2024-02-05,Consumer,Monthly
C0172,2025-06-08,Enterprise,Two Year
C0173,2024-06-08,Consumer,Two Year
C0174,2025-11-29,SMB,Two Year
C0175,2024-08-30,Consumer,Monthly
C0176,2024-03-26,Consumer,Two Year
C0177,2026-03-06,Consumer,Monthly
C0178,2025-07-31,Enterprise,One Year
C0179,2025-11-12,Consumer,One Year
C0180,2025-07-10,SMB,Two Year
C0181,2025-07-27,SMB,Monthly
C0182,2025-10-07,Consumer,One Year
C0183,2026-03-06,SMB,Monthly
C0184,2024-01-28,Consumer,Monthly
C0185,2025-09-11,Consumer,One Year
C0186,2025-07-09,Consumer,Monthly
C0187,2024-12-05,SMB,One Year
C0188,2026-03-08,Consumer,One Year
C0189,2024-11-26,Consumer,One Year
C0190,2025-10-01,Consumer,Monthly
C0191,2025-05-20,Consumer,One Year
C0192,2024-12-13,Consumer,Monthly
C0193,2025-04-17,SMB,One Year
C0194,2024-08-18,SMB,One Year
C0195,2024-07-08,Consumer,Two Year
C0196,2024-08-12,SMB,Two Year
C0197,2025-01-19,Consumer,Two Year
C0198,2025-01-11,SMB,Monthly
C0199,2024-10-09,Consumer,Monthly
C0200,2025-09-24,Consumer,One Year
C0201,2025-09-19,Consumer,One Year
C0202,2026-01-14,SMB,One Year
C0203,2024-09-15,Consumer,One Year
C0204,2024-12-24,Consumer,Monthly
C0205,2025-12-10,Consumer,One Year
C0206,2025-03-31,Consumer,One Year
C0207,2025-02-14,Consumer,Two Year
