Customer_ID,Sale_Date,Monthly_Revenue
C2750,2025-11-02,692.4419753374568
C1886,2024-08-07,1475.4857645116865
C2965,2024-12-22,319.38608691432734
C2016,2024-06-17,857.1368991173058
C1163,2025-06-07,238.41961707511135
C1300,2024-08-29,545.89483856943
C2339,2025-01-09,838.5362931444381
C1077,2024-05-18,1425.2844443514728
C0715,2024-04-06,647.7195097968762
C0948,2024-05-26,190.86937470053775
C2696,2024-06-30,643.4260271444437
C2732,2024-02-26,304.0376462235688
C0870,2024-02-11,421.9854586080234
C1071,2025-12-11,965.3268724309866
C0094,2025-06-26,194.39341268515437
C2988,2025-11-22,750.6132587500523
C0560,2024-01-02,953.2462204150702
C1776,2024-10-14,690.6017493144957
C2261,2024-05-17,126.7768908732225
C0436,2025-09-08,1479.7270996640116
C0852,2025-05-26,613.9620742767494
C2556,2025-12-30,1190.0080617065737
C2884,2024-08-09,555.9050890624345
C2699,2024-11-26,765.0234597907863
C0205,2025-09-08,643.8490996553951
C2429,2025-02-07,579.5549213134508
C1100,2025-05-22,130.59192809089024
C0077,2024-05-06,604.029312996305
C0816,2024-09-21,1345.285986559342
C0768,2025-12-12,1066.550674031157
C2458,2026-02-02,303.5920027336158
C0106,2024-01-15,927.6170064718349
C2599,2024-08-13,1349.12320392842
C2874,2024-04-14,1080.0476573507976
C2136,2026-01-14,308.1581492993754
C1747,2025-05-07,1314.9654954282953
C2929,2024-11-14,522.1616186044115
C1466,2024-08-06,735.7066020372785
C2588,2024-10-03,836.5998635648049
C0245,2026-02-11,1290.7092461294733
C2626,2024-12-06,1404.2504932067254
C1406,2025-03-27,1401.5140289067785
C0982,2025-01-03,111.1358537899569
C2765,2025-04-18,1390.64387981964
C1737,2024-07-08,176.14175240220126
C0142,2025-02-22,472.0831195444095
C0893,2025-12-10,820.9829966189661
C1392,2026-02-27,771.8959646061517
C2400,2025-05-09,946.5937114423488
C0545,2024-02-08,771.2247202318082
C2961,2024-06-10,1408.125951496589
C2200,2024-04-30,436.7683875004218
C1470,2025-02-02,483.6345716538802
C2701,2024-09-18,1389.0331099702787
C0763,2025-12-28,207.43531924335872
C0624,2025-07-14,953.3851506667338
C0656,2025-08-26,1054.430332891855
C2498,2024-05-08,807.7584128016352
C2769,2025-06-23,1071.9246303523921
C1248,2024-12-21,341.85650441675375
C0043,2025-10-21,1293.6851258801557
C2312,2025-03-07,296.03596525783985
C1027,2024-03-05,661.1374220420496
C1661,2024-08-05,205.36064183148812
C1292,2025-07-16,863.2955103443602
C0596,2025-03-02,1037.644130395895
C1013,2024-03-14,1417.7102891334068
C2225,2025-04-04,1135.0706742544012
C2111,2025-02-28,857.5440830358116
C0958,2025-12-11,1405.6638240384673
C0561,2024-07-10,769.8115732572272
C1331,2024-07-07,885.6879143384172
C1313,2024-01-12,934.537938738134
C1822,2024-08-26,673.9716162411936
C1551,2025-08-15,1273.8757667921539
C0850,2025-03-28,359.2463143830828
C1279,2025-01-17,876.7790665202511
C2652,2026-02-20,1111.1265586620716
C1534,2026-03-12,1365.566640627208
C1815,2024-02-17,1337.4857550079898
C1742,2024-11-12,812.2364052021987
C0606,2024-07-27,1000.4260316286783
C2878,2025-06-30,651.9328305810214
C1487,2024-04-28,755.4488680322804
C1295,2025-07-30,1368.7721096022692
C0746,2024-11-10,1402.9855904694637
C0558,2026-01-23,1353.5796812938277
